WCL ISE DATASET,,,,,,,,,,,,,,,,,,,,,,,,
Sol,30 ,,,,,,,,,,,,,,,,,,,,,,,
WCL Cell ,0,,,,,,,,,,,,,,,,,,,,,,,
Water Release,898866468.5629,,,,,,,,,,,,,,,,,,,,,,,
Drawer Open,898868112.9506,898869883.2373,898873507.0236,898874252.1384,,,,,,,,,,,,,,,,,,,,
Drawer Close,898868292.2481,898870064.2368,898873872.4162,898874478.0133,,,,,,,,,,,,,,,,,,,,
Regent Release,898870317.4352,,,,,,,,,,,,,,,,,,,,,,,
Time(s),Cl Ref,Vmon,CO2,Cl,I,Ir pH,Cl Ref,Cl Ref,Cl Ref,Li (A),Br,Ba,NH4,NO3,Mg,Ca,DO Ref,K,Li (B),Na,pH1,pH2,Cl Ref,Cl Ref
898866843.8557,-38.8264,-491.6236,-62.2388,-35.654,-326.4756,169.774,-63.0005,-69.4469,-49.3018,-224.1644,-34.0428,-216.1084,-345.81,-72.7116,-320.0308,-255.5828,-274.9816,-358.6996,-315.1972,-398.174,-199.1908,2050.85,-62.1947,-59.7773
898866845.9362,-43.6612,-490.818,-57.4052,-44.5156,-340.1708,159.3012,-60.5831,-80.7281,-63.0005,-236.2484,-42.9044,-218.5252,-349.0324,-79.962,-327.2812,-266.0556,-272.5643,-367.5612,-324.8644,-407.0356,-210.4692,2050.85,-67.8353,-75.0875
898866846.8629,-42.8554,-491.6236,-72.7116,-53.3772,-345.81,150.4396,-67.8353,-87.9804,-58.9715,-243.4988,-50.1548,-227.3868,-357.894,-88.018,-339.3652,-271.6948,-278.2047,-372.3948,-328.0868,-411.0636,-216.1084,2050.85,-71.8643,-75.8933
898866849.0819,-33.9916,-490.818,-50.9604,-37.2652,-330.5036,165.746,-43.6612,-68.6411,-42.8554,-223.3588,-33.2372,-207.2468,-334.5316,-69.4892,-314.3916,-251.5548,-274.1759,-355.4772,-310.3636,-390.9236,-194.3572,2050.85,-64.6121,-62.1947
898866850.0327,-30.7684,-487.5956,-68.6836,-49.3492,-340.9764,153.662,-56.5541,-75.8933,-59.7773,-235.4428,-42.9044,-217.7196,-345.81,-76.7396,-322.4476,-256.3884,-275.7874,-358.6996,-318.4196,-397.3684,-204.0244,2050.85,-63.0005,-80.7281
898866852.1842,-50.1076,-490.818,-65.4612,-44.5156,-340.1708,149.634,-72.6701,-81.5339,-59.7773,-239.4708,-50.9604,-230.6092,-359.5052,-88.8236,-333.726,-275.7228,-274.9816,-381.2564,-336.1428,-416.7028,-221.7476,2050.85,-68.6411,-81.5339
898866853.1339,-30.7684,-494.846,-59.822,-36.4596,-332.9204,163.3292,-56.5541,-70.2527,-46.0786,-233.8316,-40.4876,-222.5532,-345.81,-78.3508,-324.8644,-260.4164,-279.0104,-365.95,-320.0308,-403.8132,-210.4692,2050.85,-57.3599,-56.5541
898866855.1989,-33.1858,-488.4012,-59.822,-53.3772,-345.81,147.2172,-58.9715,-75.0875,-58.9715,-230.6092,-46.9324,-216.914,-345.81,-81.5732,-326.4756,-262.0276,-276.5932,-360.3108,-320.0308,-407.8412,-210.4692,2050.85,-71.8643,-76.6991
898866856.1349,-39.6322,-490.818,-71.906,-59.822,-353.0604,139.9668,-62.1947,-87.9804,-62.1947,-239.4708,-52.5716,-224.1644,-356.2828,-87.2124,-332.9204,-268.4724,-281.4277,-366.7556,-327.2812,-411.0636,-214.4972,2050.85,-75.0875,-81.5339
898866858.269,-44.467,-489.2068,-75.934,-59.822,-356.2828,137.55,-75.0875,-87.9804,-58.9715,-243.4988,-56.5996,-230.6092,-364.3388,-97.6852,-339.3652,-278.1396,-283.0392,-378.8396,-340.1708,-422.342,-225.7756,2050.85,-81.5339,-75.0875
898866859.2331,-53.3309,-491.6236,-71.906,-62.2388,-352.2548,140.7724,-66.2237,-85.563,-59.7773,-242.6932,-55.794,-229.8036,-361.922,-94.4628,-340.1708,-278.9452,-287.0681,-378.034,-332.9204,-416.7028,-218.5252,2050.85,-72.6701,-85.563
898866861.3341,-53.3309,-494.846,-67.878,-68.6836,-358.6996,134.3276,-66.2237,-92.0094,-69.4469,-246.7212,-61.4332,-229.8036,-358.6996,-91.2404,-340.1708,-282.1676,-285.4565,-378.034,-332.9204,-416.7028,-224.97,2050.85,-76.6991,-85.563
898866862.3027,-55.7483,-491.6236,-88.018,-75.1284,-374.8116,121.438,-85.563,-104.9022,-82.3398,-262.0276,-75.1284,-242.6932,-374.8116,-108.158,-359.5052,-293.446,-287.8738,-390.9236,-349.0324,-432.8148,-234.6372,2050.85,-95.2326,-101.679
898866864.3988,-62.1947,-493.2348,-75.1284,-68.6836,-365.1444,130.2996,-78.3107,-98.4558,-71.0585,-255.5828,-68.6836,-237.8596,-372.3948,-104.9356,-351.4492,-291.8348,-287.8738,-390.9236,-347.4212,-430.398,-240.2764,2050.85,-85.563,-92.0094
898866865.3342,-55.7483,-488.4012,-88.8236,-74.3228,-369.978,124.6604,-72.6701,-88.7862,-70.2527,-256.3884,-67.878,-242.6932,-371.5892,-104.13,-347.4212,-288.6124,-287.8738,-390.9236,-349.0324,-429.5924,-233.026,2050.85,-91.2036,-97.65
898866867.4693,-68.6411,-491.6236,-85.6012,-87.2124,-378.034,114.9932,-90.3978,-104.9022,-75.8933,-259.6108,-75.1284,-242.6932,-374.8116,-110.5748,-359.5052,-298.2796,-287.8738,-397.3684,-352.2548,-436.8428,-243.4988,2050.85,-96.0384,-108.1254
898866868.4584,-83.1456,-491.6236,-101.7132,-94.4628,-390.9236,108.5484,-94.4268,-114.5719,-101.679,-277.334,-94.4628,-258.8052,-392.5348,-127.4924,-371.5892,-312.7804,-300.766,-410.258,-372.3948,-449.7324,-256.3884,2050.85,-108.1254,-121.0183
898866870.534,-65.4179,-489.2068,-79.1564,-72.7116,-371.5892,127.8828,-87.9804,-95.2326,-76.6991,-257.9996,-74.3228,-242.6932,-379.6452,-114.6028,-362.7276,-299.8908,-294.3199,-400.5908,-355.4772,-436.8428,-246.7212,2050.85,-83.1456,-97.65
898866871.4599,-72.6701,-494.0404,-100.9076,-94.4628,-387.7012,104.5204,-84.7572,-116.9893,-100.0674,-270.0836,-89.6292,-256.3884,-388.5068,-125.8812,-371.5892,-300.6964,-297.543,-398.9796,-359.5052,-442.482,-249.138,2050.85,-101.679,-119.4067
898866873.5987,-102.4848,-491.6236,-100.102,-100.9076,-397.3684,98.8812,-110.5428,-127.4647,-114.5719,-287.0012,-104.13,-265.25,-400.5908,-143.6044,-390.118,-326.4756,-300.766,-418.314,-385.2844,-465.8444,-274.9172,2050.85,-115.3777,-123.4357
898866874.5361,-107.3196,-490.818,-108.9636,-101.7132,-401.3964,99.6868,-111.3486,-123.4357,-110.5428,-282.1676,-103.3244,-268.4724,-403.8132,-136.354,-379.6452,-319.2252,-304.7948,-425.5644,-381.2564,-463.4276,-269.278,2050.85,-120.2125,-126.6589
898866876.6684,-92.0094,-491.6236,-88.018,-100.9076,-400.5908,103.7148,-104.9022,-120.2125,-101.679,-274.9172,-92.8516,-256.3884,-394.9516,-126.6868,-374.8116,-313.586,-297.543,-414.286,-371.5892,-455.3716,-262.0276,2050.85,-114.5719,-121.0183
898866877.6617,-96.0384,-489.2068,-114.6028,-129.1036,-427.1756,79.5468,-116.9893,-140.3575,-133.9111,-301.502,-126.6868,-274.9172,-411.8692,-153.2716,-403.0076,-332.9204,-307.2121,-423.1476,-385.2844,-465.8444,-268.4724,2050.85,-136.3285,-145.9982
898866879.7321,-110.5428,-494.0404,-110.5748,-115.4084,-411.0636,93.242,-113.7661,-134.7169,-120.2125,-295.0572,-121.0476,-278.9452,-413.4804,-144.41,-391.7292,-333.726,-307.2121,-429.5924,-386.09,-469.0668,-272.5004,2050.85,-124.2415,-137.1343
898866880.6601,-126.6589,-493.2348,-117.0196,-123.4644,-418.314,81.9636,-133.1053,-145.9982,-133.1053,-297.474,-121.0476,-285.39,-422.342,-155.6884,-398.9796,-343.3932,-309.6294,-436.0372,-398.9796,-481.9564,-288.6124,2050.85,-145.9982,-150.0272
898866882.7974,-123.4357,-494.0404,-115.4084,-140.382,-436.8428,69.074,-133.1053,-149.2214,-139.5517,-307.9468,-130.7148,-287.0012,-426.37,-158.9108,-411.0636,-346.6156,-313.6582,-442.482,-400.5908,-481.9564,-288.6124,2050.85,-152.4446,-162.92
898866883.7341,-142.775,-491.6236,-119.4364,-133.1316,-429.5924,71.4908,-156.4736,-155.6678,-150.0272,-313.586,-134.7428,-295.0572,-435.2316,-171.8004,-416.7028,-353.866,-320.91,-454.566,-410.258,-497.2628,-301.502,2050.85,-150.0272,-150.833
898866885.8595,-160.5026,-493.2348,-136.354,-162.1332,-462.622,43.2948,-178.2303,-178.2303,-171.7838,-333.726,-156.494,-313.586,-455.3716,-192.746,-436.8428,-378.8396,-325.7446,-477.9284,-432.8148,-514.1804,-327.2812,2050.85,-178.2303,-182.2593
898866886.7989,-158.0852,-488.4012,-133.9372,-158.9108,-455.3716,44.1004,-175.8129,-180.6477,-175.8129,-336.1428,-160.522,-311.1692,-448.9268,-191.1348,-436.0372,-372.3948,-327.3561,-470.678,-429.5924,-506.93,-315.1972,2050.85,-179.0361,-175.0071
898866888.9316,-175.8129,-490.818,-136.354,-166.1612,-469.0668,34.4332,-179.0361,-188.7057,-173.3955,-343.3932,-168.578,-313.586,-456.1772,-198.3852,-442.482,-381.2564,-323.3273,-475.5116,-441.6764,-525.4588,-326.4756,2050.85,-186.2883,-193.5405
898866889.8787,-166.1432,-494.846,-152.466,-158.9108,-462.622,36.85,-173.3955,-186.2883,-178.2303,-340.1708,-165.3556,-320.0308,-458.594,-194.3572,-440.0652,-385.2844,-326.5504,-481.1508,-439.2596,-523.8476,-332.1148,2050.85,-184.6767,-185.4825
898866891.9943,-181.4535,-489.2068,-143.6044,-180.662,-481.1508,24.766,-191.1231,-203.2102,-188.7057,-352.2548,-179.0508,-327.2812,-472.2892,-210.4692,-455.3716,-391.7292,-333.8022,-493.2348,-452.1492,-534.3204,-343.3932,2050.85,-199.1811,-197.5695
898866892.9343,-178.2303,-494.0404,-147.6324,-182.2732,-485.1788,15.9044,-193.5405,-201.5985,-186.2883,-357.894,-181.4676,-328.0868,-469.0668,-208.0524,-455.3716,-390.9236,-329.7734,-488.4012,-448.9268,-532.7092,-336.1428,2050.85,-199.1811,-203.2102
898866895.0815,-181.4535,-494.0404,-154.0772,-185.4956,-486.79,15.0988,-195.1521,-204.8218,-186.2883,-358.6996,-184.69,-334.5316,-478.734,-216.1084,-461.8164,-398.9796,-333.8022,-499.6796,-461.8164,-535.9316,-346.6156,2050.85,-200.7927,-203.2102
898866896.009,-191.9289,-494.846,-170.9948,-191.1348,-490.818,7.8484,-199.1811,-212.074,-204.016,-365.95,-191.9404,-342.5876,-481.1508,-220.1364,-469.0668,-409.4524,-339.4426,-502.0964,-462.622,-549.6268,-355.4772,2050.85,-209.6566,-208.8508
898866898.1796,-193.5405,-494.846,-152.466,-194.3572,-492.4292,7.8484,-201.5985,-204.016,-197.5695,-365.95,-191.1348,-339.3652,-484.3732,-217.7196,-469.0668,-409.4524,-332.9965,-501.2908,-469.0668,-552.0436,-352.2548,2050.85,-209.6566,-208.045
898866899.1095,-197.5695,-491.6236,-165.3556,-192.746,-492.4292,4.626,-209.6566,-211.2682,-200.7927,-365.95,-197.5796,-339.3652,-482.762,-224.1644,-473.9004,-410.258,-341.0541,-507.7356,-468.2612,-552.0436,-355.4772,2050.85,-216.103,-204.8218
898866901.2697,-204.016,-491.6236,-156.494,-200.802,-502.0964,1.4036,-214.4914,-220.132,-210.4624,-372.3948,-201.6076,-345.81,-490.818,-230.6092,-474.706,-419.1196,-342.6656,-514.1804,-474.706,-561.7108,-365.1444,2050.85,-210.4624,-207.2392
898866902.2214,-195.1521,-494.0404,-166.9668,-198.3852,-500.4852,-4.2356,-205.6276,-223.3552,-208.045,-374.8116,-199.1908,-346.6156,-491.6236,-226.5812,-475.5116,-411.0636,-346.6944,-510.1524,-469.8724,-556.0716,-362.7276,2050.85,-216.9088,-214.4914
898866904.3356,-198.3753,-494.0404,-166.9668,-204.83,-514.1804,-8.2636,-212.074,-227.3842,-211.2682,-382.8676,-207.2468,-348.2268,-498.0684,-236.2484,-481.1508,-420.7308,-346.6944,-519.8196,-477.9284,-565.7388,-369.1724,2050.85,-223.3552,-220.9378
898866905.2617,-201.5985,-494.0404,-171.8004,-198.3852,-504.5132,2.2092,-207.2392,-220.9378,-208.045,-371.5892,-200.802,-349.838,-494.846,-229.8036,-477.9284,-417.5084,-346.6944,-513.3748,-475.5116,-559.294,-365.95,2050.85,-216.9088,-220.9378
898866907.4039,-208.8508,-490.818,-166.1612,-211.2748,-519.8196,-12.2916,-224.161,-228.9958,-220.9378,-381.2564,-208.0524,-354.6716,-500.4852,-234.6372,-488.4012,-428.7868,-345.8887,-521.4308,-485.1788,-564.9332,-374.8116,2050.85,-224.161,-223.3552
898866908.382,-200.7927,-489.2068,-190.3292,-210.4692,-513.3748,-5.8468,-223.3552,-226.5784,-204.016,-379.6452,-211.2748,-365.1444,-503.7076,-237.054,-485.1788,-426.37,-349.1117,-533.5148,-487.5956,-568.1556,-372.3948,2050.85,-224.161,-223.3552
898866910.4693,-216.9088,-494.0404,-171.8004,-224.1644,-526.2644,-17.1252,-230.6074,-233.8307,-220.9378,-390.9236,-215.3028,-362.7276,-512.5692,-245.9156,-494.846,-435.2316,-352.3348,-531.098,-494.846,-577.8228,-384.4788,2050.85,-231.4132,-235.4423
898866911.4086,-212.8798,-493.2348,-184.69,-217.7196,-520.6252,-16.3196,-224.161,-230.6074,-212.074,-384.4788,-218.5252,-362.7276,-506.1244,-242.6932,-488.4012,-430.398,-352.3348,-527.8756,-488.4012,-570.5724,-374.8116,2050.85,-226.5784,-227.3842
